,manufacturer,machine_name,onliner_link,your_onliner_price,their_onliner_price
0,Bernina,B 570 QE,https://catalog.onliner.by/sewingmachines/bernina/b570qe,5990.0,"5990,00 р."
1,Bernina,B 570 QE (с вышивальным блоком),https://catalog.onliner.by/sewingmachines/bernina/b570qe2,7700.0,"7700,00 р."
2,Janome,Horizon MC 9400 QCP,https://catalog.onliner.by/sewingmachines/jahome/horizonmemoryc,3600.0,"3600,00 р."
3,Janome,MC 15000,https://catalog.onliner.by/sewingmachines/jahome/mc15000,12100.0,"12 100,00 р."
4,Janome,Memory Craft 500e,https://catalog.onliner.by/sewingmachines/jahome/memorycraft500e,2500.0,"2300,00 – 2500,00 р."
5,Leader,Lazurite,https://catalog.onliner.by/sewingmachines/wleader/lazurite,287.0,"295,00 – 368,87 р."
6,Bernina,L 460,https://catalog.onliner.by/overlock/bernina/l460,1650.0,"1650,00 р."
7,Jaguar,Anime,https://catalog.onliner.by/sewingmachines/jaguar/janime,0.0,Net v nalichii
8,Jaguar,Betty,https://catalog.onliner.by/sewingmachines/jaguar/betty,0.0,Net v nalichii
9,Jaguar,Dolly,https://catalog.onliner.by/sewingmachines/jaguar/dolly,0.0,Net v nalichii
10,Jaguar,EL 109,https://catalog.onliner.by/sewingmachines/jaguar/el109,249.0,Net v nalichii
11,Jaguar,EL 223,https://catalog.onliner.by/sewingmachines/jaguar/el223,0.0,Net v nalichii
12,Jaguar,HandyCraft 021,https://catalog.onliner.by/sewingmachines/jaguar/handycraft021,0.0,Net v nalichii
13,Jaguar,Katty,https://catalog.onliner.by/sewingmachines/jaguar/katty,0.0,Net v nalichii
14,Jaguar,EL 547 pro,https://catalog.onliner.by/overlock/jaguar/547pro,0.0,"460,00 р."
15,Jaguar,EL 649 pro,https://catalog.onliner.by/overlock/jaguar/649pro,0.0,"550,00 р."
16,Brother,FS-20,https://catalog.onliner.by/sewingmachines/brother/brotherfs20,479.9,"479,90 – 480,26 р."
17,Brother,CS10,https://catalog.onliner.by/sewingmachines/brother/brothercs10,469.9,"469,90 р."
18,Bernina,Bernette Funlock B44,https://catalog.onliner.by/overlock/bernina/bernettefunlock4,837.0,"837,00 – 897,00 р."
19,Bernina,Bernette Funlock B48,https://catalog.onliner.by/overlock/bernina/funlockb48,1295.0,"1295,00 – 1492,50 р."
